Resource ARN,Resource Type,customer_function
arn:aws:cloudformation:eu-central-1:326605791258:stack/seedfarmer-addf-deployment-role/ac1fcb90-8319-11ee-933d-0614af76deb7,cloudformation,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-global-base-Int/1feb2f50-8316-11ee-88e2-0a70a470e959,cloudformation,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-managed-policy/5494d7a0-b788-11ee-adb2-06e5bd64e2f1,cloudformation,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/addf-realm-cicd-codebuild-sg-codebuild-sg-int-iam-policy/a5aa3df0-b9b9-11ee-805d-06a80d999935,cloudformation,N/A
arn:aws:cloudwatch:eu-central-1:326605791258:alarm:monitoring-logs-spoke-logdiscoverymonitoringlogspokeprodeucentral1subscribedlqalarmEB7C1B08-SUgLBBV34nwG,cloudwatch,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-054b15aeb93f9d46d,ec2,N/A
arn:aws:events:eu-central-1:326605791258:rule/adf-security-malware-scanner-ct-rule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/adf-security-malware-scanner-rule,events,N/A
arn:aws:kms:eu-central-1:326605791258:key/63316415-1370-41d8-bd31-ef007572decd,kms,N/A
arn:aws:kms:eu-central-1:326605791258:key/2ce3da5d-e245-4b88-a13e-60d481ff9e16,kms,N/A
arn:aws:lambda:eu-central-1:326605791258:function:adf-security-central-ec2--OrgPoliciesCRProviderfra-gWI5yu6QgM89,lambda,N/A
arn:aws:logs:eu-central-1:326605791258:log-group:/aws/lambda/aws-controltower-NotificationForwarder,logs,N/A
arn:aws:s3:::orionadp-aws-security-central-ec2-patching-prod-326605791258,s3,N/A
arn:aws:s3:::ad-labeling-bucket-20231215-mw-ebe9dc7d,s3,N/A
arn:aws:s3:::cdk-hnb659fds-assets-326605791258-eu-central-1,s3,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/adf-global-base-iam/5c581660-8316-11ee-944a-064c3e60e9bf,cloudformation,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-platform-default-aws-service-roles/aace3c70-fe77-11ee-9912-06761ed13b6f,cloudformation,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-permission-boundary-stack/49b598e0-9052-11ee-870e-024d1116423f,cloudformation,N/A
arn:aws:config:eu-central-1:326605791258:aggregation-authorization/446022434687/eu-central-1,config,N/A
arn:aws:events:eu-central-1:326605791258:rule/AutoScalingManagedRule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/resolveInspectorFindingsWithNoReboot,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/monitoring-logs-spoke-logdiscoverymonitoringlogspok-U9r5xb284wXo,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/resolveInspectorFindingsWithReboot,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorLambdaManagedRule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/adf-s3-data-event,events,N/A
arn:aws:ssm:eu-central-1:326605791258:document/orionadp-security-CreateAndAttachIAMToEc2Node,ssm,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/aws-codeseeder-addf/bb91da30-b787-11ee-9ee3-0a490793435f,cloudformation,N/A
arn:aws:cloudformation:eu-central-1:326605791258:stack/orionadp-platform-qcc-runner-roles/28c8f340-0887-11ef-8070-0a4eb1ba4d61,cloudformation,N/A
arn:aws:codebuild:eu-central-1:326605791258:project/codeseeder-addf,codebuild,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-0ae7751ba8147fbc9,ec2,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-0a26fe383278743db,ec2,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorLambdaTagManagedRule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorEc2TagManagedRule,events,N/A
arn:aws:lambda:eu-central-1:326605791258:function:aws-controltower-NotificationForwarder,lambda,N/A
arn:aws:lambda:eu-central-1:326605791258:function:adf-security-central-ec2--createshcustomactions314-GQ0522zgW54O,lambda,N/A
arn:aws:sns:eu-central-1:326605791258:aws-controltower-SecurityNotifications,sns,N/A
arn:aws:ssm:eu-central-1:326605791258:document/orionadp-aws-security-central-ec2-patching-runbook-prod,ssm,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/addf/codebuild/security_group,ssm,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/orionadp/monitoring/metrics/spoke/cloudwatch/link/arn,ssm,N/A
arn:aws:ssm:eu-central-1:326605791258:parameter/cdk-bootstrap/hnb659fds/version,ssm,N/A
arn:aws:ec2:eu-central-1:326605791258:security-group/sg-05c45c8adb177039d,ec2,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorEcrManagedRule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/aws-controltower-ConfigComplianceChangeEventRule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/DO-NOT-DELETE-AmazonInspectorEc2ManagedRule,events,N/A
arn:aws:events:eu-central-1:326605791258:rule/AWSControlTowerManagedRule,events,N/A
arn:aws:kms:eu-central-1:326605791258:key/19fc7e6a-1f0e-4132-aaaf-eeeeb0119666,kms,N/A
arn:aws:lambda:eu-central-1:326605791258:function:orionadp-security-SecurityHubConfigurationLambda,lambda,N/A
arn:aws:s3:::ad-labeling-bucket-int-ebe9dc7d,s3,N/A
arn:aws:s3:::codeseeder-addf-326605791258-fqwwrc,s3,N/A
arn:aws:ssm:eu-central-1:326605791258:document/adf-security-central-ec2-patching-realm-stack-ResolveInspectorFindingsRunbook-GyOHiZkr4o2h,ssm,N/A
